name;type;description;rule_name;data;created_at;updated_at
admin;1;Администратор;;;1535796441;1540823716
document/basket/index;2;"document/basket/index (просмотр таблицы корзины)";;;1540823696;1540823696
document/basket/view-basket;2;"document/basket/view-basket (просмотр элемента корзины)";;;1540823662;1540823662
document/element-manage/confirm-delete-element;2;"document/element-manage/confirm-delete-element (подтверждение удаления элемента)";;;1540722333;1540722333
document/element-manage/create-element;2;"document/element-manage/create-element (создание элемента)";;;1540721980;1540721980
document/element-manage/delete-element;2;"document/element-manage/delete-element (удаление элемента)";;;1540722293;1540722293
document/element-manage/delete-file;2;"document/element-manage/delete-file (удалять файл)";;;1540722463;1540722463
document/element-manage/refresh-elements;2;"document/element-manage/refresh-elements (обновление элемента)";;;1540722022;1540722022
document/element-manage/update-element;2;"document/element-manage/update-element (изменение элемента)";;;1540722251;1540722251
document/element-manage/view-element;2;"document/element-manage/view-element (просмотр элемента)";;;1540722129;1540722129
document/field-manage/confirm-delete-field;2;"document/field-manage/confirm-delete-field (подтверждение удаления поля в шаблоне)";;;1540720436;1540720436
document/field-manage/create-field;2;"document/field-manage/create-field (добавление поля к шаблону)";;;1540719829;1540719829
document/field-manage/delete-field;2;"document/field-manage/delete-field (удаление поля в шаблоне)";;;1540720395;1540720395
document/field-manage/refresh-field;2;"document/field-manage/refresh-field (обновление поля)";;;1540719910;1540719910
document/field-manage/update-field;2;"document/field-manage/update-field (изменение поля в шаблоне)";;;1540720293;1540720293
document/field-manage/view-field;2;"document/field-manage/view-field (просмотр поля в шаблоне)";;;1540720077;1540720077
document/folder-manage/confirm-delete-folder;2;"document/folder-manage/confirm-delete-folder (подтверждение удаления папки)";;;1540721278;1540721278
document/folder-manage/create-folder;2;"document/folder-manage/create-folder (создание папки)";;;1540720685;1540720685
document/folder-manage/delete-folder;2;"document/folder-manage/delete-folder (удалять папку)";;;1540721222;1540721222
document/folder-manage/refresh-folders;2;"document/folder-manage/refresh-folders (обновление папки)";;;1540720765;1540720765
document/folder-manage/update-folder;2;"document/folder-manage/update-folder (изменять папку)";;;1540721182;1540721182
document/folder-manage/view-elements;2;"document/folder-manage/view-elements (просмотр элементов)";;;1540720895;1540720895
document/folder-manage/view-folder;2;"document/folder-manage/view-folder (просмотр папки)";;;1540720864;1540720864
document/manage/get-childs;2;"document/manage/get-childs (получение содержимого папок)";;;1540718309;1540718309
document/manage/get-root;2;"document/manage/get-root (получение папок)";;;1540718251;1540718251
document/manage/index;2;"document/manage/index (просмотр таблиц документов)";;;1540718108;1540718108
document/template-manage/create-template;2;"document/template-manage/create-template (создание шаблона)";;;1540718820;1540718849
document/template-manage/delete-template;2;"document/template-manage/delete-template (удаление шаблона)";;;1540719300;1540719300
