id_geo_region;iso;name_ru;name_en;timezone;okato;id_geo_country
50360;SO-WO;Вокуй-Гальбид;"Gobolka Woqooyi Galbeed";Africa/Mogadishu;"";200
88318;LY-BA;Бенгази;"Sha`biyat Banghazi";Africa/Tripoli;"";133
89341;IQ-BA;Басра;"Muhafazat al Basrah";Asia/Baghdad;"";105
92877;IQ-NI;Найнава;"Muhafazat Ninawa";Asia/Baghdad;"";105
94823;IQ-KA;Кербела;"Muhafazat Karbala\\\\\\\\\\\\\\\\\\\\\\'";Asia/Baghdad;"";105
95445;IQ-AR;Эрбиль;"Muhafazat Arbil";Asia/Baghdad;"";105
97019;IQ-DQ;Ди-Кар;"Muhafazat Dhi Qar";Asia/Baghdad;"";105
98180;IQ-BG;Багдад;"Muhafazat Baghdad";Asia/Baghdad;"";105
98227;IQ-BB;Бабиль;"Muhafazat Babil";Asia/Baghdad;"";105
98410;IQ-TS;Киркук;"Muhafazat Kirkuk";Asia/Baghdad;"";105
99592;IQ-AN;Анбар;"Muhafazat al Anbar";Asia/Baghdad;"";105
101627;SA-07;Табук;"Mintaqat Tabuk";Asia/Riyadh;"";187
104514;SA-02;Мекка;"Makkah Province";Asia/Riyadh;"";187
105298;SA-09;Джизан;"Jizan Region";Asia/Riyadh;"";187
108179;SA-14;Асир;"Mintaqat `Asir";Asia/Riyadh;"";187
108241;SA-04;Восточная;"Al Mintaqah ash Sharqiyah";Asia/Riyadh;"";187
108411;SA-01;Эр-Рияд;"Mintaqat ar Riyad";Asia/Riyadh;"";187
108933;SA-05;Эль-Касим;"Al-Qassim Province";Asia/Riyadh;"";187
109224;SA-03;Эль-Мадина;"Mintaqat al Madinah";Asia/Riyadh;"";187
109579;SA-08;"Эль-Худуд эш-Шамалийя";"Mintaqat al Hudud ash Shamaliyah";Asia/Riyadh;"";187
110791;IR-07;Тегеран;"Ostan-e Tehran";Asia/Tehran;"";106
111452;IR-11;Зенджан;"Ostan-e Zanjan";Asia/Tehran;"";106
111821;IR-25;Йезд;Yazd;Asia/Tehran;"";106
116401;IR-12;Семнан;"Ostan-e Semnan";Asia/Tehran;"";106
124544;IR-21;Мазендеран;"Ostan-e Mazandaran";Asia/Tehran;"";106
124763;IR-22;"Центральный остан";"Ostan-e Markazi";Asia/Tehran;"";106
125605;IR-20;Лурестан;"Ostan-e Lorestan";Asia/Tehran;"";106
126584;IR-16;Курдистан;"Ostan-e Kordestan";Asia/Tehran;"";106
126878;IR-18;"Кохгилуйе и Бойерахмед";"Ostan-e Kohgiluyeh va Bowyer Ahmad";Asia/Tehran;"";106
127082;IR-10;Хузестан;"Ostan-e Khuzestan";Asia/Tehran;"";106
128222;IR-17;Керманшах;"Ostan-e Kermanshah";Asia/Tehran;"";106
128231;IR-15;Керман;"Ostan-e Kerman";Asia/Tehran;"";106
130801;IR-05;Илам;"Ostan-e Ilam";Asia/Tehran;"";106
131222;IR-23;Хормозган;"Ostan-e Hormozgan";Asia/Tehran;"";106
132142;IR-24;Хамадан;"Ostan-e Hamadan";Asia/Tehran;"";106
133349;IR-19;Гилян;"Ostan-e Gilan";Asia/Tehran;"";106
134766;IR-14;Фарс;"Ostan-e Fars";Asia/Tehran;"";106
139677;IR-08;"Чехармехаль и Бахтиария";"Ostan-e Chahar Mahal va Bakhtiari";Asia/Tehran;"";106
139816;IR-06;Бушир;"Ostan-e Bushehr";Asia/Tehran;"";106
142549;IR-01;"Восточный Азербайджан";"Ostan-e Azarbayjan-e Sharqi";Asia/Tehran;"";106
142550;IR-02;"Западный Азербайджан";"Ostan-e Azarbayjan-e Gharbi";Asia/Tehran;"";106
145701;AO-LSU;"Южная Лунда";"Lunda Sul";Africa/Luanda;"";11
146213;CY-05;Пафос;"Eparchia Pafou";Asia/Nicosia;"";54
146267;CY-01;Никосия;"Eparchia Lefkosias";Asia/Nicosia;"";54
146383;CY-02;Лимасол;"Eparchia Lemesou";Asia/Nicosia;"";54
146398;CY-03;Ларнака;"Larnaca District";Asia/Nicosia;"";54
146411;CY-06;Киренея;"Eparchia Keryneias";Asia/Nicosia;"";54
146615;CY-04;Фамагуста;"Eparchia Ammochostou";Asia/Nicosia;"";54
148155;AZ-CAL;"Джалилабадский район";"Jalilabad Rayon";Asia/Baku;"";18
148724;TZ-15;"Занзибар Западный";"Zanzibar West";Africa/Dar_es_Salaam;"";221
149595;TZ-25;Танга;"Tanga Region";Africa/Dar_es_Salaam;"";221
150733;TZ-06;"Пемба Северная";"Pemba North Region";Africa/Dar_es_Salaam;"";221
152219;TZ-18;Мванза;"Mwanza Region";Africa/Dar_es_Salaam;"";221
153214;TZ-16;Морогоро;"Morogoro Region";Africa/Dar_es_Salaam;"";221
160192;TZ-03;Додома;"Dodoma Region";Africa/Dar_es_Salaam;"";221
160260;TZ-02;Дар-эс-Салам;"Dar es Salaam Region";Africa/Dar_es_Salaam;"";221
161322;TZ-01;Аруша;"Arusha Region";Africa/Dar_es_Salaam;"";221
162181;TM-A;"Ахалский велаят";Ahal;Asia/Ashgabat;"";213
167541;SY-DI;Дамаск;"Damascus Governorate";Asia/Damascus;"";204
173336;SY-QU;"Мухафаза Эль-Кунейтра";"Quneitra Governorate";Asia/Damascus;"";204
