"id";"category";"message";"location";"hash"
1;"app";"Ссылка с подтверждением регистрации отправлена на Email.";"[""frontend/modules/signup/controllers/DefaultController.php"",""frontend/modules/profile/controllers/AuthController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
2;"app";"Email успешно подтвержден.";"[""frontend/modules/signup/controllers/DefaultController.php"",""frontend/modules/profile/controllers/AuthController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
3;"app";"Регистрация";"[""frontend/modules/signup/views/default/index.php"",""frontend/modules/profile/views/auth/signup.php"",""Table \""document\"" field \""name\"", ID = 6"",""Table \""document\"" field \""title\"", ID = 6""]";"bbbf1a6213b26440ece96aae93030f3d"
4;"app";"Проверьте ваш Емайл и следуйте дальнейшим инструкциям.";"[""frontend/modules/profile/controllers/AuthController.php"",""frontend/modules/login/controllers/DefaultController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
5;"app";"Сожалеем, мы не смогли сбросить пароль для указанного адреса электронной почты";"[""frontend/modules/profile/controllers/AuthController.php"",""frontend/modules/login/controllers/DefaultController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
6;"app";"Новый пароль сохранен.";"[""frontend/modules/profile/controllers/AuthController.php"",""frontend/modules/login/controllers/DefaultController.php""]";"bbbf1a6213b26440ece96aae93030f3d"
7;"app";"Выйти";"[""frontend/modules/profile/views/default/index.php""]";"bbbf1a6213b26440ece96aae93030f3d"
12;"app";"Сброс пароля";"[""frontend/modules/login/views/default/resetPassword.php"",""Table \""document\"" field \""name\"", ID = 10"",""Table \""document\"" field \""title\"", ID = 10""]";"bbbf1a6213b26440ece96aae93030f3d"
13;"app";"Введите новый пароль";"[""frontend/modules/login/views/default/resetPassword.php""]";"bbbf1a6213b26440ece96aae93030f3d"
14;"app";"Сохранить";"[""frontend/modules/login/views/default/resetPassword.php""]";"bbbf1a6213b26440ece96aae93030f3d"
17;"app";"Отправить";"[""frontend/modules/login/views/default/requestPasswordResetToken.php""]";"bbbf1a6213b26440ece96aae93030f3d"
18;"app";"Войти";"[""frontend/modules/login/views/default/index.php"",""Table \""document\"" field \""name\"", ID = 5"",""Table \""document\"" field \""title\"", ID = 5""]";"bbbf1a6213b26440ece96aae93030f3d"
19;"app";"Я забыл свой пароль";"[""frontend/modules/login/views/default/index.php""]";"bbbf1a6213b26440ece96aae93030f3d"
20;"app";"Главная страница";"[""Table \""document\"" field \""name\"", ID = 2"",""Table \""document\"" field \""title\"", ID = 2""]";"bbbf1a6213b26440ece96aae93030f3d"
22;"app";"Публикации";"[""Table \""document\"" field \""name\"", ID = 3"",""Table \""document\"" field \""title\"", ID = 3""]";"bbbf1a6213b26440ece96aae93030f3d"
23;"app";"<h1>Публикации</h1>
";"[""Table \""document\"" field \""content\"", ID = 3""]";"bbbf1a6213b26440ece96aae93030f3d"
28;"app";"Профиль";"[""Table \""document\"" field \""name\"", ID = 7"",""Table \""document\"" field \""title\"", ID = 7""]";"bbbf1a6213b26440ece96aae93030f3d"
34;"app";"Корзина";"[""Table \""document\"" field \""name\"", ID = 11"",""Table \""document\"" field \""title\"", ID = 11""]";"bbbf1a6213b26440ece96aae93030f3d"
37;"app";"Континент";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
38;"app";"Русское название";"[""common/models/GeoCountry.php"",""common/models/GeoCity.php"",""common/models/GeoRegion.php""]";"bbbf1a6213b26440ece96aae93030f3d"
39;"app";"Широта";"[""common/models/GeoCountry.php"",""common/models/GeoCity.php""]";"bbbf1a6213b26440ece96aae93030f3d"
40;"app";"Долгота";"[""common/models/GeoCountry.php"",""common/models/GeoCity.php""]";"bbbf1a6213b26440ece96aae93030f3d"
41;"app";"Временная зона";"[""common/models/GeoCountry.php"",""common/models/GeoRegion.php""]";"bbbf1a6213b26440ece96aae93030f3d"
42;"app";"Короткое название";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
43;"app";"Длинное название";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
44;"app";"Цифровой код";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
45;"app";"Участник";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
46;"app";"Телефонный код";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
47;"app";"Доменная зона";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
48;"app";"Количество цифр в телефонном номере";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
49;"app";"Валюта";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
50;"app";"Система измерения";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
51;"app";"Активный";"[""common/models/GeoCountry.php""]";"bbbf1a6213b26440ece96aae93030f3d"
52;"app";"Название";"[""common/models/ValueString.php"",""common/models/AuthItem.php"",""common/models/ValueText.php"",""common/models/AuthRule.php"",""common/models/ValueInt.php"",""common/models/ValueFile.php"",""common/models/ValueNumeric.php""]";"bbbf1a6213b26440ece96aae93030f3d"
53;"app";"Значение";"[""common/models/ValueString.php"",""common/models/ValueText.php"",""common/models/ValueInt.php"",""common/models/ValueNumeric.php""]";"bbbf1a6213b26440ece96aae93030f3d"
54;"app";"Тип";"[""common/models/ValueString.php"",""common/models/AuthItem.php"",""common/models/ValueText.php"",""common/models/ValueInt.php"",""common/models/ValueFile.php"",""common/models/ValueNumeric.php""]";"bbbf1a6213b26440ece96aae93030f3d"
55;"app";"Документ";"[""common/models/ValueString.php"",""common/models/ValueText.php"",""common/models/Visit.php"",""common/models/ValueInt.php"",""common/models/Like.php"",""common/models/ValueFile.php"",""common/models/ValueNumeric.php""]";"bbbf1a6213b26440ece96aae93030f3d"
56;"app";"Поле";"[""common/models/ValueString.php"",""common/models/ValueText.php"",""common/models/ValueInt.php"",""common/models/ValueFile.php"",""common/models/ValueNumeric.php""]";"bbbf1a6213b26440ece96aae93030f3d"
58;"app";"Наименование";"[""common/models/Document.php"",""common/models/Field.php"",""common/models/Template.php""]";"bbbf1a6213b26440ece96aae93030f3d"
59;"app";"Алиас";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
61;"app";"Заголовок";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
62;"app";"Мета ключи";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
63;"app";"Мета описание";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
64;"app";"Аннотация";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
65;"app";"Содержание";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
66;"app";"Статус";"[""common/models/Document.php"",""common/models/User.php"",""common/models/Template.php""]";"bbbf1a6213b26440ece96aae93030f3d"
67;"app";"Папка?";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
68;"app";"Родитель";"[""common/models/Document.php"",""common/models/AuthItemChild.php""]";"bbbf1a6213b26440ece96aae93030f3d"
69;"app";"Шаблон";"[""common/models/Document.php"",""common/models/Field.php""]";"bbbf1a6213b26440ece96aae93030f3d"
70;"app";"Время создания";"[""common/models/Document.php"",""common/models/AuthItem.php"",""common/models/AuthRule.php"",""common/models/AuthAssignment.php"",""common/models/User.php"",""common/models/Like.php""]";"bbbf1a6213b26440ece96aae93030f3d"
71;"app";"Время изменения";"[""common/models/Document.php"",""common/models/AuthItem.php"",""common/models/AuthRule.php"",""common/models/AuthAssignment.php"",""common/models/User.php""]";"bbbf1a6213b26440ece96aae93030f3d"
72;"app";"Создал";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
73;"app";"Изменил";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
74;"app";"Доступ";"[""common/models/Document.php""]";"bbbf1a6213b26440ece96aae93030f3d"
75;"app";"Пользователь";"[""common/models/UserOauthKey.php"",""common/models/Visit.php"",""common/models/AuthAssignment.php"",""common/models/Like.php""]";"bbbf1a6213b26440ece96aae93030f3d"
76;"app";"Провайдер";"[""common/models/UserOauthKey.php""]";"bbbf1a6213b26440ece96aae93030f3d"
